filename,vector,funcion_principal,case_unit_id,contribution
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,medios,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1985.txt,paternalismo,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,telos,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,medios,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1986.txt,tecnocracia,prueba,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,tiempo,ALFONSIN_1983_1989,1.25
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,telos,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,medios,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,mesianismo,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,telos,ALFONSIN_1983_1989,1.25
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,medios,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1986.txt,paternalismo,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,tiempo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,telos,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,sacrificio,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,medios,ALFONSIN_1983_1989,0.536
MENSAJE PRESIDENCIAL 1987.txt,tecnocracia,prueba,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,mesianismo,tiempo,ALFONSIN_1983_1989,1.25
MENSAJE PRESIDENCIAL 1987.txt,mesianismo,problema,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,mesianismo,autoridad,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,mesianismo,sujeto_enemigo,ALFONSIN_1983_1989,0.0
MENSAJE PRESIDENCIAL 1987.txt,mesianismo,telos,ALFONSIN_1983_1989,0.0
