filename,vector,total_strength,positive_strength,positive_signals,exterior_signals,low_confidence,positive_retention,leadership_score,positive_function_count,raw_score,adjusted_mass_score
2016-03-01_Asamblea_Legislativa-Macri.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01_Asamblea_Legislativa-Macri.txt,paternalismo,9.0,4.0,2.0,2.0,0.0,0.4444444444444444,0.06196531791907515,1.0,12.933,5.747999999999999
2017-03-01-Asamblea-Legislativa-Macri.txt,tecnocracia,29.0,29.0,11.0,0.0,0.0,1.0,0.1239306358381503,2.0,46.632,46.632
2017-03-01-Asamblea-Legislativa-Macri.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01-Asamblea-Legislativa-Macri.txt,paternalismo,11.0,11.0,4.0,0.0,0.0,1.0,0.10647398843930636,2.0,18.998,18.998
01.03.2018As.txt,tecnocracia,4.0,4.0,2.0,0.0,0.0,1.0,0.14716763005780348,2.0,4.176,4.176
01.03.2018As.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.03.2018As.txt,paternalismo,3.0,1.6500000000000001,1.0,0.0,0.0,0.55,0.02447976878612717,1.0,6.264,3.4452000000000003
Mensaje Presidencial 2019.txt,tecnocracia,15.0,15.0,5.0,0.0,0.0,1.0,0.14716763005780348,2.0,14.001,14.001
Mensaje Presidencial 2019.txt,mesianismo,2.0,2.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,2.333,2.333
Mensaje Presidencial 2019.txt,paternalismo,12.0,12.0,4.0,0.0,0.0,1.0,0.20647398843930637,2.0,14.001,14.001
VT-01-03-2019-AS-00.txt,tecnocracia,11.0,11.0,5.0,0.0,0.0,1.0,0.14716763005780348,2.0,11.591,11.591
VT-01-03-2019-AS-00.txt,mesianismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,4.347,4.347
VT-01-03-2019-AS-00.txt,paternalismo,3.0,3.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,4.347,4.347
Mensaje Presidencial 2020.txt,tecnocracia,24.0,24.0,10.0,0.0,0.0,1.0,0.14716763005780348,2.0,18.345,18.345
Mensaje Presidencial 2020.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mensaje Presidencial 2020.txt,paternalismo,20.0,18.0,8.0,1.0,0.0,0.9,0.20647398843930637,2.0,17.472,15.724800000000002
Mensaje Presidencial 2021.txt,tecnocracia,22.0,22.0,8.0,0.0,0.0,1.0,0.20913294797687862,3.0,11.598,11.598
Mensaje Presidencial 2021.txt,mesianismo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941016634634504,0.0
Mensaje Presidencial 2021.txt,paternalismo,22.0,20.0,8.0,1.0,0.0,0.9090909090909091,0.20647398843930637,2.0,14.58,13.254545454545454
Mensaje Presidencial 2022.txt,tecnocracia,26.0,26.0,11.0,0.0,0.0,1.0,0.1239306358381503,2.0,17.88,17.88
Mensaje Presidencial 2022.txt,mesianismo,1.0,1.0,1.0,0.0,0.0,1.0,0.1445086705202312,1.0,0.745,0.745
Mensaje Presidencial 2022.txt,paternalismo,26.0,25.1,10.0,0.0,0.0,0.9653846153846154,0.20647398843930637,2.0,19.37,18.6995
2024_Mensaje_Asamblea_Legislativa_Milei.txt,tecnocracia,26.0,21.0,10.0,2.0,2.0,0.8076923076923077,0.20913294797687862,3.0,15.561,12.5685
2024_Mensaje_Asamblea_Legislativa_Milei.txt,mesianismo,12.0,4.0,3.0,3.0,1.0,0.3333333333333333,0.2890173410404624,2.0,14.449481604979436,4.816493868326479
2024_Mensaje_Asamblea_Legislativa_Milei.txt,paternalismo,11.0,4.75,3.0,2.0,1.0,0.4318181818181818,0.05684971098265896,2.0,12.226,5.279409090909091
2025_Mensaje_Asamblea_Legislativa_Milei.txt,tecnocracia,38.0,36.0,16.0,1.0,0.0,0.9473684210526315,0.20913294797687862,3.0,20.862,19.763999999999996
2025_Mensaje_Asamblea_Legislativa_Milei.txt,mesianismo,12.0,6.0,2.0,2.0,0.0,0.5,0.27167630057803466,2.0,16.914949932341003,8.457474966170501
2025_Mensaje_Asamblea_Legislativa_Milei.txt,paternalismo,9.0,8.1,4.0,0.0,0.0,0.8999999999999999,0.10647398843930636,2.0,10.149,9.134099999999998
2026-Asamblea-Legislativa-Milei.txt,tecnocracia,30.0,30.0,13.0,0.0,0.0,1.0,0.20913294797687862,3.0,16.322,16.322
2026-Asamblea-Legislativa-Milei.txt,mesianismo,7.0,7.0,3.0,0.0,0.0,1.0,0.2890173410404624,2.0,6.347,6.347
2026-Asamblea-Legislativa-Milei.txt,paternalismo,23.0,15.65,6.0,2.0,0.0,0.6804347826086957,0.22138728323699422,3.0,20.856,14.19114782608696
