filename,actor,case_unit_id,case_unit,year,genre,source_path,source_sha256,analysis_window,match_count,tec_matches,mes_matches,pat_matches,corpus_freeze_version,prior_configuration,candidate_configuration,candidate_notation,candidate_pair,dominant,secondary,tertiary,dominant_leadership,secondary_leadership,leadership_margin,direction_status,pair_source,recursive_feedback,tertiary_positive_retention,review_required
2001-12-22_23_Mensaje_Presidencial_Rodrxguez_Sax_Asuncixn.txt,Adolfo Rodríguez Saá,RODRIGUEZ_SAA_2001,Adolfo Rodríguez Saá (2001),2001,apertura,corpus/processed/txt_analysis_ready_v3/2001-12-22_23_Mensaje_Presidencial_Rodrxguez_Sax_Asuncixn.txt,e6e2011ed000235d2b240bff75cc9132d117898db258b0ad23680cec3c0f22ca,segments_1084_1112_presidential_only,9,3,3,3,HCDN_NB17_v0_3,paternalismo↔mesianismo,paternalismo+mesianismo,PAT→MES,MES–PAT,paternalismo,mesianismo,tecnocracia,0.2064739884393063,0.1445086705202312,0.0619653179190751,directed,masa léxica corregida por polaridad simétrica,False,1.0,True
2002-01-01_Mensaje_Presidencial_Duhalde_Asuncixn.txt,Eduardo Duhalde,DUHALDE_2002_2003,Eduardo Duhalde (2002–2003),2002,apertura,corpus/processed/txt_analysis_ready_v3/2002-01-01_Mensaje_Presidencial_Duhalde_Asuncixn.txt,e50c12a2430f17c05b5c4f4d34ba52a0cb16e3bad714556667969d41d0b0c87d,full_presidential_document,6,4,1,1,HCDN_NB17_v0_3,paternalismo+mesianismo,paternalismo↔mesianismo,PAT↔MES,MES–PAT,paternalismo,mesianismo,tecnocracia,0.1445086705202312,0.1445086705202312,0.0,indeterminate,masa léxica corregida por polaridad simétrica,False,1.0,False
2002-03-01_Mensaje_Presidencial_Duhalde.txt,Eduardo Duhalde,DUHALDE_2002_2003,Eduardo Duhalde (2002–2003),2002,apertura,corpus/processed/txt_analysis_ready_v3/2002-03-01_Mensaje_Presidencial_Duhalde.txt,cd5f6ddf6ce9f0c9cc06a86e332ae476e15e9ab6febc99295d55813bd0ef6c53,full_presidential_document,20,11,3,6,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2309537572254335,0.1471676300578034,0.08378612716763,directed,masa léxica corregida por polaridad simétrica,False,1.0,True
2003-03-01_Mensaje_Presidencial_Duhalde.txt,Eduardo Duhalde,DUHALDE_2002_2003,Eduardo Duhalde (2002–2003),2003,apertura,corpus/processed/txt_analysis_ready_v3/2003-03-01_Mensaje_Presidencial_Duhalde.txt,9c92e1934ee183f55543f765cbdf482ede6f084c639e7c8b5e2fb93946972f04,full_presidential_document,9,5,1,3,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.0619653179190751,0.1445086705202312,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
2003-05-25_Mensaje_Presidencial_Kirchner_Asuncixn.txt,Néstor Kirchner,KIRCHNER_2003_2007,Néstor Kirchner (2003–2007),2003,apertura,corpus/processed/txt_analysis_ready_v3/2003-05-25_Mensaje_Presidencial_Kirchner_Asuncixn.txt,5b032a58e5f359626b0f6ad4d4fca5dc1abda7cf6654af0472e9c9c68c268adf,full_presidential_document,22,11,1,10,HCDN_NB17_v0_3,paternalismo+tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2064739884393063,0.1471676300578034,0.0593063583815028,directed,masa léxica corregida por polaridad simétrica,False,1.0,True
2004-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,KIRCHNER_2003_2007,Néstor Kirchner (2003–2007),2004,apertura,corpus/processed/txt_analysis_ready_v3/2004-03-01_Mensaje_Presidencial_Kirchner.txt,604cdca411f3e62b5daf3d325af2ba1fd43187b7337484596934eaf50c1d58c8,full_presidential_document,21,10,0,11,HCDN_NB17_v0_3,paternalismo+tecnocracia,tecnocracia↔paternalismo,TEC↔PAT,PAT–TEC,tecnocracia,paternalismo,mesianismo,0.2091329479768786,0.2064739884393063,0.0026589595375722,indeterminate,masa léxica corregida por polaridad simétrica,False,0.0,True
2005-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,KIRCHNER_2003_2007,Néstor Kirchner (2003–2007),2005,apertura,corpus/processed/txt_analysis_ready_v3/2005-03-01_Mensaje_Presidencial_Kirchner.txt,0e41d64558de89293e42a3cc2ff51d55237c0d77452835e7cb1a6120b9bd2692,full_presidential_document,34,18,1,15,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo↔tecnocracia,PAT↔TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2309537572254335,0.2091329479768786,0.0218208092485548,indeterminate,masa léxica corregida por polaridad simétrica,False,1.0,False
2006-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,KIRCHNER_2003_2007,Néstor Kirchner (2003–2007),2006,apertura,corpus/processed/txt_analysis_ready_v3/2006-03-01_Mensaje_Presidencial_Kirchner.txt,ed2ece53a0f2ea6de38cf9bc942125131c16cd9c26a7c564e32e1f887c3404ed,full_presidential_document,63,35,1,27,HCDN_NB17_v0_3,tecnocracia↔paternalismo,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.3336416184971098,0.2091329479768786,0.1245086705202312,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
2007-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,KIRCHNER_2003_2007,Néstor Kirchner (2003–2007),2007,apertura,corpus/processed/txt_analysis_ready_v3/2007-03-01_Mensaje_Presidencial_Kirchner.txt,4ad7d9dcdec1c90608ff11db39ae8a310df884f796b1f712983ae6f52968afab,full_presidential_document,49,25,3,21,HCDN_NB17_v0_3,paternalismo+tecnocracia,paternalismo↔tecnocracia,PAT↔TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2509826589595376,0.2091329479768786,0.0418497109826589,indeterminate,masa léxica corregida por polaridad simétrica,False,1.0,False
Asunción.Cristina.2007.txt,Cristina Fernández de Kirchner,CFK_I_2007_2011,Cristina Fernández de Kirchner I (2007–2011),2007,apertura,corpus/processed/txt_analysis_ready_v3/Asunción.Cristina.2007.txt,e95804f7ed82dd6fbbe1366530abf7ce24c2cf7a0abd11cfa87b09941b968041,full_presidential_document,10,2,2,6,HCDN_NB17_v0_3,paternalismo↔tecnocracia,paternalismo+tecnocracia,PAT→TEC,PAT–TEC,paternalismo,tecnocracia,mesianismo,0.2509826589595376,0.1471676300578034,0.1038150289017341,directed,masa léxica corregida por polaridad simétrica,False,1.0,False
