filename,actor,year,period,genre,dominant_vector,secondary_vector,configuration,attractor_strength,total_score,gap,review_status,metadata_status,interpretation_status,notes
2005-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,2005.0,9. Kirchnerismo (2003–2015),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,50.05,3.96,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
2006-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,2006.0,9. Kirchnerismo (2003–2015),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,77.18,6.601,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
2007-03-01_Mensaje_Presidencial_Kirchner.txt,Néstor Kirchner,2007.0,9. Kirchnerismo (2003–2015),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,56.606,0.935,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
1983-12-10_Mensaje_Presidencial_Alfonsin_Asuncixn.txt,Raúl Alfonsín,1983.0,7. Transición democrática (1983–1989),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,39.249,6.069,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1984.txt,Raúl Alfonsín,1984.0,7. Transición democrática (1983–1989),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,41.304,5.744,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
MENSAJE PRESIDENCIAL 1985.txt,Raúl Alfonsín,1985.0,7. Transición democrática (1983–1989),apertura,paternalismo,tecnocracia,paternalismo+tecnocracia,medium,69.05,0.822,cleared_provisional,clean,usable_provisional,"near-tie cleared_provisional (gap=0.822, 1.2% of total)"
MENSAJE PRESIDENCIAL 1986.txt,Raúl Alfonsín,1986.0,7. Transición democrática (1983–1989),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,40.899,6.817,not_in_active_queue,clean,usable,
MENSAJE PRESIDENCIAL 1987.txt,Raúl Alfonsín,1987.0,7. Transición democrática (1983–1989),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,strong,25.142,9.733,not_in_active_queue,clean,usable,
1988-12-21_Asamblea_Legislativa_Extraordinaria_Alfonsin.txt,Raúl Alfonsín,1988.0,7. Transición democrática (1983–1989),apertura,tecnocracia,mesianismo,tecnocracia+mesianismo,indeterminate,11.64,0.0,cleared_provisional,clean,usable_low_weight,low-weight: indeterminate attractor retained after manual review; requires_manual_reading cleared_provisional after human text review
MENSAJE PRESIDENCIAL 1988.txt,Raúl Alfonsín,1988.0,7. Transición democrática (1983–1989),apertura,tecnocracia,paternalismo,tecnocracia+paternalismo,medium,62.812,4.332,not_in_active_queue,clean,usable,NB05 ambiguity flag (secondary vector near co-dominant)
MENSAJE PRESIDENCIAL 1989.txt,Raúl Alfonsín,1989.0,8. Menemismo y colapso (1989–2002),apertura,mesianismo,tecnocracia,mesianismo+tecnocracia,medium,31.984,3.199,not_in_active_queue,clean,usable,
